Id;date;assigned_group;trial_tot;fase_prueba.thisN;fase_testeo.thisN;difficulty;dominant_color;dominant_count;correctAns;resp_prueba.keys;resp_prueba.rt;resp_testeo.keys;resp_testeo.rt;scale_order;confidence_key;confidence_level;confidence_label;group
8;2026-05-19_10h11.34.048;Experimental;;;;;;;;;;;;Standard;;;;
8;2026-05-19_10h11.34.048;;;;;;;;;;;;;;;;;
8;2026-05-19_10h11.34.048;;;;;;;;;;;;;;;;;
8;2026-05-19_10h11.34.048;;1;0;;Difficult;Red;43;n;n;31.239.999.999.999.900;;;;;;;
8;2026-05-19_10h11.34.048;;2;1;;Average;Red;55;n;n;0.8599999999999994;;;;;;;
8;2026-05-19_10h11.34.048;;3;2;;Easy;Blue;64;c;c;0.7792999999523147;;;;;;;
8;2026-05-19_10h11.34.048;;4;3;;Difficult;Red;41;n;n;12.242.000.000.476.800;;;;;;;
8;2026-05-19_10h11.34.048;;5;4;;Difficult;Blue;41;c;c;0.8880999999046324;;;;;;;
8;2026-05-19_10h11.34.048;;6;5;;Difficult;Blue;45;c;c;18.982.000.000.476.800;;;;;;;
8;2026-05-19_10h11.34.048;;7;6;;Easy;Blue;63;c;c;0.46710000014304853;;;;;;;
8;2026-05-19_10h11.34.048;;8;7;;Easy;Blue;63;c;c;0.4808000001907331;;;;;;;
8;2026-05-19_10h11.34.048;;9;8;;Difficult;Red;42;n;n;0.5718999998569458;;;;;;;
8;2026-05-19_10h11.34.048;;10;9;;Average;Red;54;n;n;0.8402000000476804;;;;;;;
8;2026-05-19_10h11.34.048;;11;10;;Average;Blue;52;c;c;0.548099999904629;;;;;;;
8;2026-05-19_10h11.34.048;;12;11;;Average;Blue;51;c;c;0.5383999998569493;;;;;;;
8;2026-05-19_10h11.34.048;;13;12;;Average;Red;51;n;n;0.6978999998569506;;;;;;;
8;2026-05-19_10h11.34.048;;14;13;;Easy;Blue;63;c;c;0.4924999999999997;;;;;;;
8;2026-05-19_10h11.34.048;;15;14;;Average;Blue;51;c;c;0.4667999999523147;;;;;;;
8;2026-05-19_10h11.34.048;;16;15;;Difficult;Red;44;n;n;0.6665999999046335;;;;;;;
8;2026-05-19_10h11.34.048;;17;16;;Easy;Blue;63;c;c;0.49759999990462944;;;;;;;
8;2026-05-19_10h11.34.048;;18;17;;Difficult;Red;42;n;n;0.5546000001430471;;;;;;;
8;2026-05-19_10h11.34.048;;19;18;;Average;Red;55;n;n;0.534200000047683;;;;;;;
8;2026-05-19_10h11.34.048;;20;19;;Average;Red;53;n;n;0.43370000004767917;;;;;;;
8;2026-05-19_10h11.34.048;;21;20;;Average;Blue;55;c;c;0.4121000001430488;;;;;;;
8;2026-05-19_10h11.34.048;;22;21;;Average;Blue;55;c;c;0.508499999999998;;;;;;;
8;2026-05-19_10h11.34.048;;23;22;;Difficult;Red;45;n;c;0.967000000000013;;;;;;;
8;2026-05-19_10h11.34.048;;24;23;;Average;Blue;55;c;c;0.4732999999523173;;;;;;;
8;2026-05-19_10h11.34.048;;25;24;;Easy;Red;61;n;n;0.9667999999523147;;;;;;;
8;2026-05-19_10h11.34.048;;26;25;;Average;Blue;53;c;c;0.43639999985694544;;;;;;;
8;2026-05-19_10h11.34.048;;27;26;;Easy;Red;64;n;n;0.3911000001430409;;;;;;;
8;2026-05-19_10h11.34.048;;28;27;;Average;Blue;53;c;c;0.5367999999523079;;;;;;;
8;2026-05-19_10h11.34.048;;29;28;;Average;Blue;51;c;c;0.4754999999999967;;;;;;;
8;2026-05-19_10h11.34.048;;30;29;;Average;Red;53;n;n;0.33940000009538096;;;;;;;
8;2026-05-19_10h11.34.048;;31;30;;Average;Blue;54;c;c;0.6307000000476819;;;;;;;
8;2026-05-19_10h11.34.048;;32;31;;Easy;Red;63;n;n;0.44729999995230685;;;;;;;
8;2026-05-19_10h11.34.048;;33;32;;Difficult;Red;45;n;n;0.6002000000476926;;;;;;;
8;2026-05-19_10h11.34.048;;34;33;;Average;Red;55;n;n;0.3657999999523156;;;;;;;
8;2026-05-19_10h11.34.048;;35;34;;Easy;Red;65;n;n;0.35639999985694715;;;;;;;
8;2026-05-19_10h11.34.048;;36;35;;Easy;Red;61;n;n;0.3578999998569543;;;;;;;
8;2026-05-19_10h11.34.048;;37;36;;Average;Red;55;n;n;0.38450000000000273;;;;;;;
8;2026-05-19_10h11.34.048;;38;37;;Average;Blue;55;c;c;0.4144000000953554;;;;;;;
8;2026-05-19_10h11.34.048;;39;38;;Average;Blue;52;c;c;0.36740000009537255;;;;;;;
8;2026-05-19_10h11.34.048;;40;39;;Easy;Red;64;n;n;0.3867000000476821;;;;;;;
8;2026-05-19_10h11.34.048;;41;40;;Difficult;Blue;45;c;c;0.6534000000953597;;;;;;;
8;2026-05-19_10h11.34.048;;42;41;;Easy;Blue;63;c;c;0.4387999999523089;;;;;;;
8;2026-05-19_10h11.34.048;;43;42;;Difficult;Blue;44;c;c;11.267.999.999.523.100;;;;;;;
8;2026-05-19_10h11.34.048;;44;43;;Average;Blue;55;c;c;0.31530000019073157;;;;;;;
8;2026-05-19_10h11.34.048;;45;44;;Difficult;Red;43;n;n;0.5009000000953705;;;;;;;
8;2026-05-19_10h11.34.048;;46;45;;Difficult;Blue;45;c;c;0.6338000001907318;;;;;;;
8;2026-05-19_10h11.34.048;;47;46;;Average;Red;55;n;n;0.5474999999999994;;;;;;;
8;2026-05-19_10h11.34.048;;48;47;;Easy;Red;65;n;n;0.4142999999523198;;;;;;;
8;2026-05-19_10h11.34.048;;49;48;;Average;Red;53;n;n;0.5144999999999982;;;;;;;
8;2026-05-19_10h11.34.048;;50;49;;Easy;Red;64;n;n;0.40060000014305785;;;;;;;
8;2026-05-19_10h11.34.048;;51;50;;Easy;Blue;65;c;c;0.43120000004768144;;;;;;;
8;2026-05-19_10h11.34.048;;52;51;;Average;Blue;51;c;c;0.35459999990463587;;;;;;;
8;2026-05-19_10h11.34.048;;53;52;;Average;Blue;53;c;c;0.8598999998569496;;;;;;;
8;2026-05-19_10h11.34.048;;54;53;;Difficult;Red;42;n;n;0.5422999999523199;;;;;;;
8;2026-05-19_10h11.34.048;;55;54;;Difficult;Blue;45;c;c;0.4352999999523206;;;;;;;
8;2026-05-19_10h11.34.048;;56;55;;Difficult;Blue;41;c;c;0.8162999999523208;;;;;;;
8;2026-05-19_10h11.34.048;;57;56;;Average;Blue;53;c;c;0.48370000004769054;;;;;;;
8;2026-05-19_10h11.34.048;;58;57;;Easy;Blue;64;c;c;0.38439999985695295;;;;;;;
8;2026-05-19_10h11.34.048;;59;58;;Difficult;Red;42;n;c;0.921999999999997;;;;;;;
8;2026-05-19_10h11.34.048;;60;59;;Difficult;Blue;41;c;n;0.9476000001430407;;;;;;;
8;2026-05-19_10h11.34.048;;61;60;;Easy;Blue;64;c;c;0.38869999980926195;;;;;;;
8;2026-05-19_10h11.34.048;;62;61;;Easy;Blue;65;c;c;0.47540000009536243;;;;;;;
8;2026-05-19_10h11.34.048;;63;62;;Easy;Blue;63;c;c;0.6172000000476885;;;;;;;
8;2026-05-19_10h11.34.048;;64;63;;Easy;Red;65;n;n;0.49850000000000705;;;;;;;
8;2026-05-19_10h11.34.048;;65;64;;Easy;Blue;63;c;c;0.9308999998569476;;;;;;;
8;2026-05-19_10h11.34.048;;66;65;;Average;Red;55;n;n;0.5352999999523149;;;;;;;
8;2026-05-19_10h11.34.048;;67;66;;Easy;Blue;62;c;c;0.6599999999999966;;;;;;;
8;2026-05-19_10h11.34.048;;68;67;;Easy;Red;63;n;n;0.389899999856965;;;;;;;
8;2026-05-19_10h11.34.048;;69;68;;Average;Blue;52;c;c;0.4334999999999809;;;;;;;
8;2026-05-19_10h11.34.048;;70;69;;Easy;Blue;65;c;c;0.4785999999046453;;;;;;;
8;2026-05-19_10h11.34.048;;71;70;;Difficult;Red;44;n;n;0.578899999856958;;;;;;;
8;2026-05-19_10h11.34.048;;72;71;;Easy;Blue;64;c;c;0.4102999999523149;;;;;;;
8;2026-05-19_10h11.34.048;;73;72;;Average;Red;54;n;n;0.8319000000953736;;;;;;;
8;2026-05-19_10h11.34.048;;74;73;;Easy;Blue;62;c;c;0.39750000000000796;;;;;;;
8;2026-05-19_10h11.34.048;;75;74;;Difficult;Red;42;n;n;0.82650000000001;;;;;;;
8;2026-05-19_10h11.34.048;;76;75;;Difficult;Red;45;n;c;0.6503000001907537;;;;;;;
8;2026-05-19_10h11.34.048;;77;76;;Difficult;Blue;41;c;c;0.8031999998092658;;;;;;;
8;2026-05-19_10h11.34.048;;78;77;;Average;Blue;55;c;c;0.38739999985693885;;;;;;;
8;2026-05-19_10h11.34.048;;79;78;;Average;Blue;52;c;n;0.3897999999523165;;;;;;;
8;2026-05-19_10h11.34.048;;80;79;;Difficult;Red;45;n;n;0.31230000019073145;;;;;;;
8;2026-05-19_10h11.34.048;;81;80;;Average;Blue;52;c;c;0.4008999998569607;;;;;;;
8;2026-05-19_10h11.34.048;;82;81;;Easy;Red;65;n;n;0.3972000000476896;;;;;;;
8;2026-05-19_10h11.34.048;;83;82;;Difficult;Blue;43;c;c;0.48410000014305865;;;;;;;
8;2026-05-19_10h11.34.048;;84;83;;Easy;Red;63;n;n;0.4003000001907253;;;;;;;
8;2026-05-19_10h11.34.048;;85;84;;Difficult;Red;45;n;n;0.8169999999999789;;;;;;;
8;2026-05-19_10h11.34.048;;86;85;;Average;Red;54;n;n;0.4807000000476762;;;;;;;
8;2026-05-19_10h11.34.048;;87;86;;Difficult;Blue;43;c;c;0.4309000000953631;;;;;;;
8;2026-05-19_10h11.34.048;;88;87;;Easy;Blue;63;c;c;0.41990000009536743;;;;;;;
8;2026-05-19_10h11.34.048;;89;88;;Average;Blue;54;c;c;0.31709999990462734;;;;;;;
8;2026-05-19_10h11.34.048;;90;89;;Difficult;Red;45;n;n;0.6237000000476769;;;;;;;
8;2026-05-19_10h11.34.048;;91;90;;Difficult;Red;45;n;n;0.746699999809266;;;;;;;
8;2026-05-19_10h11.34.048;;92;91;;Easy;Blue;63;c;c;0.40359999990462825;;;;;;;
8;2026-05-19_10h11.34.048;;93;92;;Easy;Blue;64;c;c;0.7669999999999959;;;;;;;
8;2026-05-19_10h11.34.048;;94;93;;Difficult;Blue;43;c;n;0.7965000000000089;;;;;;;
8;2026-05-19_10h11.34.048;;95;94;;Easy;Red;63;n;n;0.34370000004767576;;;;;;;
