Id,date,assigned_group,trial_tot,fase_prueba.thisN,fase_testeo.thisN,difficulty,dominant_color,dominant_count,correctAns,resp_prueba.keys,resp_prueba.rt,resp_testeo.keys,resp_testeo.rt,scale_order,confidence_key,confidence_level,confidence_label,group
2566,2026-05-20_10h05.45.210,Experimental,,,,,,,,,,,,Standard,,,,
2566,2026-05-20_10h05.45.210,,,,,,,,,,,,,,,,,
2566,2026-05-20_10h05.45.210,,,,,,,,,,,,,,,,,
2566,2026-05-20_10h05.45.210,,1,0,,Difficult,Red,42,n,c,0.6256000000238373,,,,,,,
2566,2026-05-20_10h05.45.210,,2,1,,Easy,Red,61,n,c,0.5682999999821163,,,,,,,
2566,2026-05-20_10h05.45.210,,3,2,,Difficult,Blue,43,c,n,0.5514999999999972,,,,,,,
2566,2026-05-20_10h05.45.210,,4,3,,Easy,Blue,62,c,n,0.4075999999940336,,,,,,,
2566,2026-05-20_10h05.45.210,,5,4,,Average,Blue,54,c,c,0.18670000001787912,,,,,,,
2566,2026-05-20_10h05.45.210,,6,5,,Average,Red,54,n,n,0.1670000000000016,,,,,,,
2566,2026-05-20_10h05.45.210,,7,6,,Average,Blue,52,c,c,0.10169999998808521,,,,,,,
2566,2026-05-20_10h05.45.210,,8,7,,Average,Blue,51,c,n,0.08429999998210747,,,,,,,
2566,2026-05-20_10h05.45.210,,9,8,,Easy,Blue,61,c,c,0.1345999999940375,,,,,,,
2566,2026-05-20_10h05.45.210,,10,9,,Easy,Red,64,n,c,0.034099999994026575,,,,,,,
2566,2026-05-20_10h05.45.210,,11,10,,Average,Blue,53,c,c,20.213799999982115,,,,,,,
2566,2026-05-20_10h05.45.210,,12,11,,Difficult,Blue,44,c,n,1.7697000000178775,,,,,,,
2566,2026-05-20_10h05.45.210,,13,12,,Difficult,Blue,43,c,n,0.6290000000000049,,,,,,,
2566,2026-05-20_10h05.45.210,,14,13,,Easy,Blue,65,c,c,0.6364000000059633,,,,,,,
2566,2026-05-20_10h05.45.210,,15,14,,Easy,Red,65,n,c,0.36880000001193025,,,,,,,
2566,2026-05-20_10h05.45.210,,16,15,,Difficult,Blue,43,c,c,0.7360000000000042,,,,,,,
2566,2026-05-20_10h05.45.210,,17,16,,Easy,Red,62,n,n,0.6997000000178843,,,,,,,
2566,2026-05-20_10h05.45.210,,18,17,,Difficult,Blue,44,c,n,0.5161999999880749,,,,,,,
2566,2026-05-20_10h05.45.210,,19,18,,Difficult,Red,44,n,n,0.5750999999940518,,,,,,,
2566,2026-05-20_10h05.45.210,,20,19,,Average,Red,55,n,c,0.2583000000119142,,,,,,,
2566,2026-05-20_10h05.45.210,,21,20,,Difficult,Red,44,n,n,0.7334000000059575,,,,,,,
2566,2026-05-20_10h05.45.210,,22,21,,Difficult,Red,45,n,c,0.533900000005957,,,,,,,
2566,2026-05-20_10h05.45.210,,23,22,,Difficult,Blue,41,c,n,0.20059999999404,,,,,,,
2566,2026-05-20_10h05.45.210,,24,23,,Difficult,Red,41,n,n,1.1540999999940311,,,,,,,
2566,2026-05-20_10h05.45.210,,25,24,,Difficult,Blue,41,c,n,0.8520000000000039,,,,,,,
2566,2026-05-20_10h05.45.210,,26,25,,Easy,Blue,62,c,c,0.48609999999403897,,,,,,,
2566,2026-05-20_10h05.45.210,,27,26,,Easy,Red,65,n,n,0.47519999998807805,,,,,,,
2566,2026-05-20_10h05.45.210,,28,27,,Average,Blue,55,c,c,0.42690000000595774,,,,,,,
2566,2026-05-20_10h05.45.210,,29,28,,Difficult,Blue,43,c,n,0.4843000000119133,,,,,,,
2566,2026-05-20_10h05.45.210,,30,29,,Difficult,Blue,42,c,c,0.4337999999821136,,,,,,,
2566,2026-05-20_10h05.45.210,,31,30,,Easy,Blue,65,c,c,0.6085000000000065,,,,,,,
2566,2026-05-20_10h05.45.210,,32,31,,Difficult,Blue,41,c,c,0.5427000000178737,,,,,,,
2566,2026-05-20_10h05.45.210,,33,32,,Difficult,Red,42,n,n,0.18390000000596274,,,,,,,
2566,2026-05-20_10h05.45.210,,34,33,,Easy,Red,62,n,n,0.5118999999761513,,,,,,,
2566,2026-05-20_10h05.45.210,,35,34,,Difficult,Red,44,n,n,0.42459999999402953,,,,,,,
2566,2026-05-20_10h05.45.210,,36,35,,Average,Red,51,n,n,0.31869999998809817,,,,,,,
2566,2026-05-20_10h05.45.210,,37,36,,Easy,Blue,63,c,c,0.4408999999761818,,,,,,,
2566,2026-05-20_10h05.45.210,,38,37,,Average,Red,52,n,n,0.5841999999881011,,,,,,,
2566,2026-05-20_10h05.45.210,,39,38,,Difficult,Red,45,n,n,0.6357999999821118,,,,,,,
2566,2026-05-20_10h05.45.210,,40,39,,Easy,Blue,65,c,c,0.23509999999401998,,,,,,,
2566,2026-05-20_10h05.45.210,,41,40,,Easy,Blue,63,c,c,0.42740000000597433,,,,,,,
2566,2026-05-20_10h05.45.210,,42,41,,Average,Blue,55,c,c,0.45029999998212134,,,,,,,
2566,2026-05-20_10h05.45.210,,43,42,,Difficult,Red,43,n,c,0.5772999999821309,,,,,,,
2566,2026-05-20_10h05.45.210,,44,43,,Easy,Blue,64,c,c,0.4333000000119114,,,,,,,
2566,2026-05-20_10h05.45.210,,45,44,,Difficult,Blue,45,c,c,0.4528999999761538,,,,,,,
2566,2026-05-20_10h05.45.210,,46,45,,Easy,Blue,61,c,c,0.47519999998809226,,,,,,,
2566,2026-05-20_10h05.45.210,,47,46,,Difficult,Blue,44,c,c,0.4673000000119316,,,,,,,
