Id,date,assigned_group,trial_tot,fase_prueba.thisN,fase_testeo.thisN,difficulty,dominant_color,dominant_count,correctAns,resp_prueba.keys,resp_prueba.rt,resp_testeo.keys,resp_testeo.rt,scale_order,confidence_key,confidence_level,confidence_label,group
4302,2026-05-19_12h12.10.944,Experimental,,,,,,,,,,,,Reverse,,,,
4302,2026-05-19_12h12.10.944,,,,,,,,,,,,,,,,,
4302,2026-05-19_12h12.10.944,,,,,,,,,,,,,,,,,
4302,2026-05-19_12h12.10.944,,1,0,,Average,Red,53,n,n,4.904400000002234,,,,,,,
4302,2026-05-19_12h12.10.944,,2,1,,Average,Red,51,n,n,1.505199999999256,,,,,,,
4302,2026-05-19_12h12.10.944,,3,2,,Average,Red,51,n,n,1.3825000000000003,,,,,,,
4302,2026-05-19_12h12.10.944,,4,3,,Easy,Red,62,n,n,0.9999000000022349,,,,,,,
4302,2026-05-19_12h12.10.944,,5,4,,Easy,Red,61,n,n,1.1463000000007426,,,,,,,
4302,2026-05-19_12h12.10.944,,6,5,,Easy,Red,61,n,n,1.091099999997759,,,,,,,
4302,2026-05-19_12h12.10.944,,7,6,,Difficult,Blue,44,c,c,0.7231999999992524,,,,,,,
4302,2026-05-19_12h12.10.944,,8,7,,Easy,Red,63,n,n,0.7126000000015011,,,,,,,
4302,2026-05-19_12h12.10.944,,9,8,,Difficult,Red,43,n,c,0.6161000000014951,,,,,,,
4302,2026-05-19_12h12.10.944,,10,9,,Difficult,Red,45,n,c,1.1555000000000035,,,,,,,
4302,2026-05-19_12h12.10.944,,11,10,,Easy,Red,61,n,n,0.37080000000074165,,,,,,,
4302,2026-05-19_12h12.10.944,,12,11,,Difficult,Blue,44,c,c,0.6164000000022298,,,,,,,
4302,2026-05-19_12h12.10.944,,13,12,,Average,Red,51,n,n,1.0786999999992588,,,,,,,
4302,2026-05-19_12h12.10.944,,14,13,,Difficult,Red,42,n,c,0.7161999999992474,,,,,,,
4302,2026-05-19_12h12.10.944,,15,14,,Average,Blue,51,c,c,0.44489999999851193,,,,,,,
4302,2026-05-19_12h12.10.944,,16,15,,Average,Blue,53,c,c,0.44810000000148875,,,,,,,
4302,2026-05-19_12h12.10.944,,17,16,,Average,Red,51,n,n,0.8504999999999967,,,,,,,
4302,2026-05-19_12h12.10.944,,18,17,,Difficult,Red,41,n,c,0.4921999999992579,,,,,,,
4302,2026-05-19_12h12.10.944,,19,18,,Difficult,Red,42,n,c,1.2583999999985025,,,,,,,
4302,2026-05-19_12h12.10.944,,20,19,,Average,Blue,53,c,c,0.44940000000224245,,,,,,,
4302,2026-05-19_12h12.10.944,,21,20,,Average,Red,54,n,n,0.5218000000007521,,,,,,,
4302,2026-05-19_12h12.10.944,,22,21,,Easy,Red,61,n,n,0.5189000000022332,,,,,,,
4302,2026-05-19_12h12.10.944,,23,22,,Easy,Red,65,n,n,0.4582999999970241,,,,,,,
4302,2026-05-19_12h12.10.944,,24,23,,Easy,Red,65,n,n,0.518800000000752,,,,,,,
4302,2026-05-19_12h12.10.944,,25,24,,Easy,Red,65,n,n,0.5926999999992546,,,,,,,
4302,2026-05-19_12h12.10.944,,26,25,,Easy,Blue,65,c,c,0.39130000000075427,,,,,,,
4302,2026-05-19_12h12.10.944,,27,26,,Difficult,Blue,42,c,c,0.6672999999970273,,,,,,,
4302,2026-05-19_12h12.10.944,,28,27,,Difficult,Blue,43,c,c,0.525899999998515,,,,,,,
4302,2026-05-19_12h12.10.944,,29,28,,Average,Blue,54,c,c,0.40099999999999625,,,,,,,
4302,2026-05-19_12h12.10.944,,30,29,,Difficult,Red,44,n,n,0.4603999999985149,,,,,,,
4302,2026-05-19_12h12.10.944,,31,30,,Easy,Red,63,n,n,0.3889999999999958,,,,,,,
4302,2026-05-19_12h12.10.944,,32,31,,Difficult,Blue,45,c,c,0.3286999999992588,,,,,,,
4302,2026-05-19_12h12.10.944,,33,32,,Average,Blue,52,c,c,0.38139999999850716,,,,,,,
4302,2026-05-19_12h12.10.944,,34,33,,Difficult,Blue,43,c,c,0.333999999999989,,,,,,,
4302,2026-05-19_12h12.10.944,,35,34,,Easy,Red,61,n,n,0.31589999999850704,,,,,,,
4302,2026-05-19_12h12.10.944,,36,35,,Difficult,Red,43,n,n,0.8590999999977669,,,,,,,
4302,2026-05-19_12h12.10.944,,37,36,,Difficult,Blue,44,c,c,0.4673000000007477,,,,,,,
4302,2026-05-19_12h12.10.944,,38,37,,Easy,Blue,64,c,c,0.42469999999926245,,,,,,,
4302,2026-05-19_12h12.10.944,,39,38,,Easy,Red,63,n,n,0.3332000000029893,,,,,,,
4302,2026-05-19_12h12.10.944,,40,39,,Difficult,Red,42,n,n,1.1256000000014978,,,,,,,
4302,2026-05-19_12h12.10.944,,41,40,,Difficult,Red,44,n,n,0.8340000000000032,,,,,,,
4302,2026-05-19_12h12.10.944,,42,41,,Average,Blue,53,c,c,0.2819999999999965,,,,,,,
4302,2026-05-19_12h12.10.944,,43,42,,Easy,Red,62,n,n,0.3663000000007486,,,,,,,
4302,2026-05-19_12h12.10.944,,44,43,,Difficult,Red,45,n,n,0.8818000000007515,,,,,,,
4302,2026-05-19_12h12.10.944,,45,44,,Easy,Blue,64,c,c,0.2901999999992597,,,,,,,
4302,2026-05-19_12h12.10.944,,46,45,,Easy,Blue,63,c,c,0.3464999999999918,,,,,,,
4302,2026-05-19_12h12.10.944,,47,46,,Difficult,Blue,41,c,n,0.7814999999999941,,,,,,,
4302,2026-05-19_12h12.10.944,,48,47,,Easy,Red,63,n,n,0.5926999999992546,,,,,,,
4302,2026-05-19_12h12.10.944,,49,48,,Difficult,Red,44,n,c,1.1508000000007428,,,,,,,
4302,2026-05-19_12h12.10.944,,50,49,,Average,Blue,53,c,c,0.41749999999998977,,,,,,,
4302,2026-05-19_12h12.10.944,,51,50,,Average,Red,54,n,n,0.5821000000014749,,,,,,,
4302,2026-05-19_12h12.10.944,,52,51,,Easy,Blue,64,c,c,0.33940000000225723,,,,,,,
4302,2026-05-19_12h12.10.944,,53,52,,Difficult,Red,45,n,n,0.6488000000007332,,,,,,,
4302,2026-05-19_12h12.10.944,,54,53,,Easy,Red,61,n,n,0.37969999999927495,,,,,,,
4302,2026-05-19_12h12.10.944,,55,54,,Difficult,Red,41,n,c,0.3665999999977885,,,,,,,
4302,2026-05-19_12h12.10.944,,56,55,,Easy,Red,64,n,n,0.24969999999925108,,,,,,,
4302,2026-05-19_12h12.10.944,,57,56,,Difficult,Red,45,n,c,0.45910000000148443,,,,,,,
4302,2026-05-19_12h12.10.944,,58,57,,Difficult,Red,42,n,n,0.7811999999992452,,,,,,,
4302,2026-05-19_12h12.10.944,,59,58,,Average,Red,55,n,n,0.4331999999992604,,,,,,,
4302,2026-05-19_12h12.10.944,,60,59,,Difficult,Blue,44,c,c,0.4695999999977687,,,,,,,
4302,2026-05-19_12h12.10.944,,61,60,,Average,Blue,51,c,c,0.3937000000030082,,,,,,,
4302,2026-05-19_12h12.10.944,,62,61,,Easy,Blue,62,c,c,0.3825000000000216,,,,,,,
4302,2026-05-19_12h12.10.944,,63,62,,Average,Blue,55,c,c,0.37990000000223745,,,,,,,
4302,2026-05-19_12h12.10.944,,64,63,,Difficult,Red,45,n,n,0.40509999999775914,,,,,,,
4302,2026-05-19_12h12.10.944,,65,64,,Difficult,Blue,43,c,n,0.999900000002242,,,,,,,
4302,2026-05-19_12h12.10.944,,66,65,,Difficult,Blue,43,c,c,0.3803000000007444,,,,,,,
4302,2026-05-19_12h12.10.944,,67,66,,Average,Blue,51,c,c,0.3188999999985356,,,,,,,
4302,2026-05-19_12h12.10.944,,68,67,,Difficult,Blue,45,c,c,0.3935000000000173,,,,,,,
4302,2026-05-19_12h12.10.944,,69,68,,Difficult,Blue,43,c,c,0.5441999999992504,,,,,,,
4302,2026-05-19_12h12.10.944,,70,69,,Difficult,Red,45,n,n,0.6915999999977771,,,,,,,
4302,2026-05-19_12h12.10.944,,71,70,,Easy,Blue,62,c,c,0.24429999999699703,,,,,,,
4302,2026-05-19_12h12.10.944,,72,71,,Average,Blue,51,c,c,0.4017999999969959,,,,,,,
4302,2026-05-19_12h12.10.944,,73,72,,Difficult,Blue,45,c,c,0.7138000000007594,,,,,,,
4302,2026-05-19_12h12.10.944,,74,73,,Difficult,Red,42,n,n,0.4342999999970232,,,,,,,
4302,2026-05-19_12h12.10.944,,75,74,,Easy,Blue,64,c,c,0.3156000000014956,,,,,,,
4302,2026-05-19_12h12.10.944,,76,75,,Average,Red,52,n,n,0.5949999999999989,,,,,,,
4302,2026-05-19_12h12.10.944,,77,76,,Average,Blue,55,c,c,0.427899999998516,,,,,,,
4302,2026-05-19_12h12.10.944,,78,77,,Easy,Blue,65,c,c,0.4143999999984942,,,,,,,
4302,2026-05-19_12h12.10.944,,79,78,,Difficult,Red,41,n,n,1.0594999999999857,,,,,,,
4302,2026-05-19_12h12.10.944,,80,79,,Average,Red,53,n,n,0.5552000000029693,,,,,,,
4302,2026-05-19_12h12.10.944,,81,80,,Easy,Red,63,n,n,0.37249999999997385,,,,,,,
4302,2026-05-19_12h12.10.944,,82,81,,Difficult,Blue,42,c,c,0.5146999999992659,,,,,,,
4302,2026-05-19_12h12.10.944,,83,82,,Average,Blue,55,c,c,0.5343999999984987,,,,,,,
4302,2026-05-19_12h12.10.944,,84,83,,Easy,Blue,62,c,c,0.4475999999977489,,,,,,,
4302,2026-05-19_12h12.10.944,,85,84,,Difficult,Blue,41,c,n,0.8710000000000093,,,,,,,
4302,2026-05-19_12h12.10.944,,86,85,,Easy,Blue,63,c,c,0.18200000000001637,,,,,,,
4302,2026-05-19_12h12.10.944,,87,86,,Average,Blue,52,c,n,0.22779999999701772,,,,,,,
4302,2026-05-19_12h12.10.944,,88,87,,Easy,Blue,63,c,c,0.39170000000297023,,,,,,,
4302,2026-05-19_12h12.10.944,,89,88,,Average,Blue,53,c,c,0.5481999999992695,,,,,,,
4302,2026-05-19_12h12.10.944,,90,89,,Difficult,Blue,41,c,n,0.8995000000000175,,,,,,,
4302,2026-05-19_12h12.10.944,,91,90,,Average,Red,53,n,n,0.9046000000014942,,,,,,,
4302,2026-05-19_12h12.10.944,,92,91,,Difficult,Blue,41,c,n,1.017800000000733,,,,,,,
4302,2026-05-19_12h12.10.944,,93,92,,Difficult,Red,45,n,c,0.4807999999970036,,,,,,,
4302,2026-05-19_12h12.10.944,,94,93,,Easy,Red,65,n,n,0.46839999999852466,,,,,,,
4302,2026-05-19_12h12.10.944,,95,94,,Difficult,Red,45,n,n,0.4786999999992645,,,,,,,
4302,2026-05-19_12h12.10.944,,96,95,,Difficult,Red,45,n,n,0.625,,,,,,,
4302,2026-05-19_12h12.10.944,,97,96,,Average,Blue,53,c,c,0.766699999999247,,,,,,,
4302,2026-05-19_12h12.10.944,,98,97,,Average,Blue,55,c,c,0.4380999999977462,,,,,,,
4302,2026-05-19_12h12.10.944,,99,98,,Difficult,Blue,43,c,c,0.6338000000007469,,,,,,,
4302,2026-05-19_12h12.10.944,,100,99,,Average,Red,55,n,n,0.31379999999703045,,,,,,,
4302,2026-05-19_12h12.10.944,,101,100,,Average,Red,54,n,n,0.41450000000000387,,,,,,,
4302,2026-05-19_12h12.10.944,,102,101,,Easy,Blue,63,c,c,0.4959999999999809,,,,,,,
4302,2026-05-19_12h12.10.944,,103,102,,Difficult,Blue,42,c,n,0.559899999998521,,,,,,,
4302,2026-05-19_12h12.10.944,,104,103,,Difficult,Blue,44,c,n,0.7717000000029941,,,,,,,
4302,2026-05-19_12h12.10.944,,105,104,,Easy,Red,65,n,n,0.3935000000000173,,,,,,,
4302,2026-05-19_12h12.10.944,,106,105,,Difficult,Blue,43,c,c,0.3853000000044631,,,,,,,
4302,2026-05-19_12h12.10.944,,107,106,,Difficult,Red,41,n,c,0.7812000000029968,,,,,,,
4302,2026-05-19_12h12.10.944,,108,107,,Average,Red,51,n,n,0.41690000000596683,,,,,,,
4302,2026-05-19_12h12.10.944,,109,108,,Average,Red,53,n,n,0.4526999999955308,,,,,,,
4302,2026-05-19_12h12.10.944,,110,109,,Difficult,Blue,44,c,c,0.7483999999984974,,,,,,,
4302,2026-05-19_12h12.10.944,,111,110,,Difficult,Blue,44,c,n,1.3258999999985122,,,,,,,
4302,2026-05-19_12h12.10.944,,112,111,,Difficult,Red,44,n,n,0.6667000000029759,,,,,,,
