Id,date,assigned_group,trial_tot,fase_prueba.thisN,fase_testeo.thisN,difficulty,dominant_color,dominant_count,correctAns,resp_prueba.keys,resp_prueba.rt,resp_testeo.keys,resp_testeo.rt,scale_order,confidence_key,confidence_level,confidence_label,group
5128,2026-05-20_15h09.44.254,Experimental,,,,,,,,,,,,Reverse,,,,
5128,2026-05-20_15h09.44.254,,,,,,,,,,,,,,,,,
5128,2026-05-20_15h09.44.254,,,,,,,,,,,,,,,,,
5128,2026-05-20_15h09.44.254,,1,0,,Average,Red,53,n,c,1.5390000000000015,,,,,,,
5128,2026-05-20_15h09.44.254,,2,1,,Difficult,Blue,42,c,c,1.0678000001907364,,,,,,,
5128,2026-05-20_15h09.44.254,,3,2,,Easy,Red,64,n,n,0.08379999971389651,,,,,,,
5128,2026-05-20_15h09.44.254,,4,3,,Easy,Red,62,n,n,1.4324999999999974,,,,,,,
5128,2026-05-20_15h09.44.254,,5,4,,Average,Red,54,n,n,0.6947999997139007,,,,,,,
5128,2026-05-20_15h09.44.254,,6,5,,Easy,Red,64,n,n,0.5339000000953646,,,,,,,
5128,2026-05-20_15h09.44.254,,7,6,,Average,Red,54,n,n,0.49799999999999756,,,,,,,
5128,2026-05-20_15h09.44.254,,8,7,,Easy,Blue,64,c,c,0.20049999999999812,,,,,,,
5128,2026-05-20_15h09.44.254,,9,8,,Average,Blue,52,c,n,0.1600000000000037,,,,,,,
5128,2026-05-20_15h09.44.254,,10,9,,Difficult,Blue,43,c,c,0.8355000000000032,,,,,,,
5128,2026-05-20_15h09.44.254,,11,10,,Average,Red,53,n,n,0.33330000019073225,,,,,,,
5128,2026-05-20_15h09.44.254,,12,11,,Difficult,Red,43,n,n,0.7665999999046349,,,,,,,
5128,2026-05-20_15h09.44.254,,13,12,,Difficult,Blue,41,c,n,1.790700000286101,,,,,,,
5128,2026-05-20_15h09.44.254,,14,13,,Easy,Blue,65,c,c,0.32669999980927145,,,,,,,
5128,2026-05-20_15h09.44.254,,15,14,,Difficult,Blue,41,c,c,0.6409000000953711,,,,,,,
5128,2026-05-20_15h09.44.254,,16,15,,Difficult,Red,45,n,n,0.8745000000000047,,,,,,,
5128,2026-05-20_15h09.44.254,,17,16,,Difficult,Blue,44,c,c,0.9579999999999984,,,,,,,
5128,2026-05-20_15h09.44.254,,18,17,,Average,Blue,54,c,c,0.8009000000953677,,,,,,,
5128,2026-05-20_15h09.44.254,,19,18,,Easy,Blue,64,c,c,0.7175000000000011,,,,,,,
5128,2026-05-20_15h09.44.254,,20,19,,Average,Red,53,n,n,0.35419999980926775,,,,,,,
5128,2026-05-20_15h09.44.254,,21,20,,Average,Blue,55,c,c,0.5007999997139052,,,,,,,
5128,2026-05-20_15h09.44.254,,22,21,,Average,Red,55,n,n,0.4033999996185429,,,,,,,
5128,2026-05-20_15h09.44.254,,23,22,,Easy,Red,62,n,n,0.7000000000000028,,,,,,,
5128,2026-05-20_15h09.44.254,,24,23,,Difficult,Blue,45,c,c,0.695999999999998,,,,,,,
5128,2026-05-20_15h09.44.254,,25,24,,Difficult,Red,41,n,n,2.2683000001907345,,,,,,,
5128,2026-05-20_15h09.44.254,,26,25,,Difficult,Blue,43,c,c,0.4003000001907395,,,,,,,
5128,2026-05-20_15h09.44.254,,27,26,,Difficult,Red,43,n,n,0.9868999996185295,,,,,,,
5128,2026-05-20_15h09.44.254,,28,27,,Average,Blue,54,c,c,0.5721999998092571,,,,,,,
5128,2026-05-20_15h09.44.254,,29,28,,Difficult,Red,42,n,c,1.1662999997138996,,,,,,,
5128,2026-05-20_15h09.44.254,,30,29,,Easy,Blue,62,c,c,0.5004000000953681,,,,,,,
5128,2026-05-20_15h09.44.254,,31,30,,Easy,Red,62,n,n,0.2697000002860932,,,,,,,
5128,2026-05-20_15h09.44.254,,32,31,,Difficult,Blue,43,c,n,0.6837999997138979,,,,,,,
5128,2026-05-20_15h09.44.254,,33,32,,Difficult,Blue,45,c,c,0.936000000000007,,,,,,,
5128,2026-05-20_15h09.44.254,,34,33,,Easy,Blue,63,c,c,0.5346999998092627,,,,,,,
5128,2026-05-20_15h09.44.254,,35,34,,Easy,Red,63,n,n,0.2824000000953646,,,,,,,
5128,2026-05-20_15h09.44.254,,36,35,,Easy,Red,62,n,n,0.5846999998092599,,,,,,,
5128,2026-05-20_15h09.44.254,,37,36,,Easy,Blue,62,c,c,0.25070000028610195,,,,,,,
5128,2026-05-20_15h09.44.254,,38,37,,Average,Blue,51,c,c,0.4449999999999932,,,,,,,
5128,2026-05-20_15h09.44.254,,39,38,,Average,Blue,53,c,c,0.9615999999046352,,,,,,,
5128,2026-05-20_15h09.44.254,,40,39,,Difficult,Red,44,n,n,0.8282000002861025,,,,,,,
5128,2026-05-20_15h09.44.254,,41,40,,Easy,Blue,65,c,c,0.3662000002860992,,,,,,,
5128,2026-05-20_15h09.44.254,,42,41,,Difficult,Red,41,n,n,1.8656000003814626,,,,,,,
5128,2026-05-20_15h09.44.254,,43,42,,Average,Blue,55,c,c,0.5246999998092718,,,,,,,
5128,2026-05-20_15h09.44.254,,44,43,,Easy,Red,63,n,n,0.4547000002860955,,,,,,,
5128,2026-05-20_15h09.44.254,,45,44,,Difficult,Red,45,n,c,0.468900000095374,,,,,,,
5128,2026-05-20_15h09.44.254,,46,45,,Difficult,Red,44,n,n,0.6928000001907293,,,,,,,
