Id,date,assigned_group,trial_tot,fase_prueba.thisN,fase_testeo.thisN,difficulty,dominant_color,dominant_count,correctAns,resp_prueba.keys,resp_prueba.rt,resp_testeo.keys,resp_testeo.rt,scale_order,confidence_key,confidence_level,confidence_label,group
1463,2026-05-20_10h04.41.613,Control,,,,,,,,,,,,Reverse,,,,
1463,2026-05-20_10h04.41.613,,,,,,,,,,,,,,,,,
1463,2026-05-20_10h04.41.613,,,,,,,,,,,,,,,,,
1463,2026-05-20_10h04.41.613,,1,0,,Difficult,Blue,42,c,n,1.7117999999970195,,,,,,,
1463,2026-05-20_10h04.41.613,,2,1,,Easy,Blue,63,c,c,0.9954999999999998,,,,,,,
1463,2026-05-20_10h04.41.613,,3,2,,Average,Blue,55,c,c,0.54210000000149,,,,,,,
1463,2026-05-20_10h04.41.613,,4,3,,Easy,Red,63,n,n,0.629199999995528,,,,,,,
1463,2026-05-20_10h04.41.613,,5,4,,Difficult,Blue,44,c,c,0.4217000000029856,,,,,,,
1463,2026-05-20_10h04.41.613,,6,5,,Easy,Blue,63,c,c,0.3358000000044754,,,,,,,
1463,2026-05-20_10h04.41.613,,7,6,,Easy,Red,64,n,n,0.1996000000014888,,,,,,,
1463,2026-05-20_10h04.41.613,,8,7,,Difficult,Red,43,n,c,1.52039999999851,,,,,,,
1463,2026-05-20_10h04.41.613,,9,8,,Easy,Blue,64,c,c,0.3883000000044703,,,,,,,
1463,2026-05-20_10h04.41.613,,10,9,,Easy,Blue,64,c,c,0.4747999999970176,,,,,,,
1463,2026-05-20_10h04.41.613,,11,10,,Average,Blue,54,c,c,0.56830000000447,,,,,,,
1463,2026-05-20_10h04.41.613,,12,11,,Average,Red,54,n,n,0.2931000000014876,,,,,,,
1463,2026-05-20_10h04.41.613,,13,12,,Difficult,Red,41,n,n,1.4273999999985136,,,,,,,
1463,2026-05-20_10h04.41.613,,14,13,,Difficult,Blue,43,c,c,1.258100000001491,,,,,,,
1463,2026-05-20_10h04.41.613,,15,14,,Difficult,Red,43,n,n,0.45389999999851227,,,,,,,
1463,2026-05-20_10h04.41.613,,16,15,,Difficult,Blue,42,c,c,1.8410000000000082,,,,,,,
1463,2026-05-20_10h04.41.613,,17,16,,Easy,Blue,65,c,c,0.43970000000298626,,,,,,,
1463,2026-05-20_10h04.41.613,,18,17,,Difficult,Blue,45,c,c,0.5424999999999898,,,,,,,
1463,2026-05-20_10h04.41.613,,19,18,,Easy,Red,64,n,n,0.29070000000298535,,,,,,,
1463,2026-05-20_10h04.41.613,,20,19,,Easy,Red,64,n,n,0.29139999999850374,,,,,,,
1463,2026-05-20_10h04.41.613,,21,20,,Difficult,Red,41,n,c,0.3623999999985159,,,,,,,
1463,2026-05-20_10h04.41.613,,22,21,,Average,Blue,55,c,n,0.25460000000150274,,,,,,,
1463,2026-05-20_10h04.41.613,,23,22,,Difficult,Blue,42,c,n,0.5607000000029814,,,,,,,
1463,2026-05-20_10h04.41.613,,24,23,,Average,Blue,53,c,c,0.36020000000297614,,,,,,,
1463,2026-05-20_10h04.41.613,,25,24,,Average,Red,55,n,n,0.5446000000014948,,,,,,,
1463,2026-05-20_10h04.41.613,,26,25,,Easy,Red,61,n,n,0.22469999999552215,,,,,,,
1463,2026-05-20_10h04.41.613,,27,26,,Easy,Blue,65,c,c,0.20510000000147954,,,,,,,
1463,2026-05-20_10h04.41.613,,28,27,,Average,Red,54,n,n,0.07480000000445841,,,,,,,
1463,2026-05-20_10h04.41.613,,29,28,,Average,Red,53,n,n,0.1396999999955284,,,,,,,
1463,2026-05-20_10h04.41.613,,30,29,,Difficult,Red,41,n,n,0.22149999999999181,,,,,,,
1463,2026-05-20_10h04.41.613,,31,30,,Easy,Red,64,n,n,0.20669999999553568,,,,,,,
1463,2026-05-20_10h04.41.613,,32,31,,Easy,Blue,63,c,c,0.20139999999851455,,,,,,,
1463,2026-05-20_10h04.41.613,,33,32,,Average,Blue,53,c,c,0.2068000000044634,,,,,,,
1463,2026-05-20_10h04.41.613,,34,33,,Difficult,Blue,45,c,n,0.1397000000029749,,,,,,,
1463,2026-05-20_10h04.41.613,,35,34,,Average,Red,55,n,c,6.5246999999955335,,,,,,,
1463,2026-05-20_10h04.41.613,,36,35,,Difficult,Red,45,n,n,0.34009999999403817,,,,,,,
1463,2026-05-20_10h04.41.613,,37,36,,Easy,Blue,65,c,c,0.373899999998514,,,,,,,
1463,2026-05-20_10h04.41.613,,38,37,,Difficult,Blue,41,c,n,0.46789999999850806,,,,,,,
1463,2026-05-20_10h04.41.613,,39,38,,Average,Red,53,n,n,0.3261999999955236,,,,,,,
1463,2026-05-20_10h04.41.613,,40,39,,Difficult,Blue,42,c,c,0.4747999999970176,,,,,,,
1463,2026-05-20_10h04.41.613,,41,40,,Difficult,Blue,42,c,n,0.4542999999970192,,,,,,,
1463,2026-05-20_10h04.41.613,,42,41,,Easy,Blue,64,c,c,0.20610000000149853,,,,,,,
1463,2026-05-20_10h04.41.613,,43,42,,Difficult,Red,43,n,c,0.17180000000448103,,,,,,,
1463,2026-05-20_10h04.41.613,,44,43,,Easy,Red,63,n,n,0.2885000000000133,,,,,,,
1463,2026-05-20_10h04.41.613,,45,44,,Easy,Red,61,n,n,0.2225000000000108,,,,,,,
