Id,date,assigned_group,trial_tot,fase_prueba.thisN,fase_testeo.thisN,difficulty,dominant_color,dominant_count,correctAns,resp_prueba.keys,resp_prueba.rt,resp_testeo.keys,resp_testeo.rt,scale_order,confidence_key,confidence_level,confidence_label,group
2494,2026-05-20_13h13.41.219,Experimental,,,,,,,,,,,,Standard,,,,
2494,2026-05-20_13h13.41.219,,,,,,,,,,,,,,,,,
2494,2026-05-20_13h13.41.219,,,,,,,,,,,,,,,,,
2494,2026-05-20_13h13.41.219,,1,0,,Easy,Red,64,n,n,1.2181999999880873,,,,,,,
2494,2026-05-20_13h13.41.219,,2,1,,Difficult,Blue,41,c,c,1.1341000000238495,,,,,,,
2494,2026-05-20_13h13.41.219,,3,2,,Average,Blue,53,c,c,0.7001999999880866,,,,,,,
2494,2026-05-20_13h13.41.219,,4,3,,Easy,Blue,64,c,c,0.6843999999761508,,,,,,,
2494,2026-05-20_13h13.41.219,,5,4,,Average,Blue,55,c,c,0.6359999999999957,,,,,,,
2494,2026-05-20_13h13.41.219,,6,5,,Difficult,Red,42,n,n,0.5327000000476829,,,,,,,
2494,2026-05-20_13h13.41.219,,7,6,,Difficult,Blue,41,c,c,1.1189999999999998,,,,,,,
2494,2026-05-20_13h13.41.219,,8,7,,Average,Blue,55,c,c,0.5876000000238406,,,,,,,
2494,2026-05-20_13h13.41.219,,9,8,,Average,Blue,52,c,c,0.6049000000357694,,,,,,,
2494,2026-05-20_13h13.41.219,,10,9,,Easy,Red,62,n,n,0.44410000002383754,,,,,,,
2494,2026-05-20_13h13.41.219,,11,10,,Easy,Blue,61,c,c,0.5688000000119189,,,,,,,
2494,2026-05-20_13h13.41.219,,12,11,,Difficult,Blue,41,c,c,0.48359999996422687,,,,,,,
2494,2026-05-20_13h13.41.219,,13,12,,Easy,Red,61,n,n,0.46180000001191956,,,,,,,
2494,2026-05-20_13h13.41.219,,14,13,,Difficult,Red,41,n,c,1.045500000000004,,,,,,,
2494,2026-05-20_13h13.41.219,,15,14,,Easy,Blue,61,c,c,0.5365000000000038,,,,,,,
2494,2026-05-20_13h13.41.219,,16,15,,Difficult,Red,42,n,c,0.6341999999880841,,,,,,,
2494,2026-05-20_13h13.41.219,,17,16,,Difficult,Blue,44,c,c,0.6528000000119221,,,,,,,
2494,2026-05-20_13h13.41.219,,18,17,,Average,Red,55,n,n,0.5678000000119141,,,,,,,
2494,2026-05-20_13h13.41.219,,19,18,,Average,Blue,55,c,c,0.6510000000000105,,,,,,,
2494,2026-05-20_13h13.41.219,,20,19,,Easy,Red,61,n,n,0.351699999988071,,,,,,,
2494,2026-05-20_13h13.41.219,,21,20,,Easy,Red,61,n,n,0.5324000000357643,,,,,,,
2494,2026-05-20_13h13.41.219,,22,21,,Easy,Red,65,n,n,0.5660000000000025,,,,,,,
2494,2026-05-20_13h13.41.219,,23,22,,Average,Blue,55,c,c,0.618599999964232,,,,,,,
2494,2026-05-20_13h13.41.219,,24,23,,Easy,Blue,64,c,c,0.49900000000000944,,,,,,,
2494,2026-05-20_13h13.41.219,,25,24,,Easy,Red,64,n,n,0.8353000000119124,,,,,,,
2494,2026-05-20_13h13.41.219,,26,25,,Average,Red,53,n,n,0.6011000000238482,,,,,,,
2494,2026-05-20_13h13.41.219,,27,26,,Difficult,Blue,41,c,c,0.5668000000119093,,,,,,,
2494,2026-05-20_13h13.41.219,,28,27,,Easy,Red,64,n,n,0.5693999999761559,,,,,,,
2494,2026-05-20_13h13.41.219,,29,28,,Average,Red,54,n,n,0.5670000000000073,,,,,,,
2494,2026-05-20_13h13.41.219,,30,29,,Easy,Red,64,n,n,0.45060000002384015,,,,,,,
2494,2026-05-20_13h13.41.219,,31,30,,Difficult,Blue,44,c,c,0.5678999999761629,,,,,,,
2494,2026-05-20_13h13.41.219,,32,31,,Difficult,Red,43,n,c,0.5717999999523187,,,,,,,
2494,2026-05-20_13h13.41.219,,33,32,,Average,Blue,52,c,c,0.5720000000000027,,,,,,,
2494,2026-05-20_13h13.41.219,,34,33,,Easy,Blue,62,c,c,0.5510000000000019,,,,,,,
2494,2026-05-20_13h13.41.219,,35,34,,Easy,Red,62,n,n,0.5521000000238416,,,,,,,
2494,2026-05-20_13h13.41.219,,36,35,,Average,Red,54,n,n,0.500800000011921,,,,,,,
2494,2026-05-20_13h13.41.219,,37,36,,Average,Red,53,n,n,0.466800000011915,,,,,,,
2494,2026-05-20_13h13.41.219,,38,37,,Easy,Blue,62,c,c,0.43379999995232765,,,,,,,
2494,2026-05-20_13h13.41.219,,39,38,,Average,Red,55,n,n,0.4351000000238514,,,,,,,
2494,2026-05-20_13h13.41.219,,40,39,,Difficult,Red,43,n,c,0.5174999999999983,,,,,,,
2494,2026-05-20_13h13.41.219,,41,40,,Difficult,Red,42,n,c,0.5004000000357678,,,,,,,
2494,2026-05-20_13h13.41.219,,42,41,,Difficult,Red,45,n,n,1.1670000000000016,,,,,,,
2494,2026-05-20_13h13.41.219,,43,42,,Difficult,Blue,44,c,c,0.6358999999761465,,,,,,,
2494,2026-05-20_13h13.41.219,,44,43,,Difficult,Red,41,n,c,0.8337000000476849,,,,,,,
2494,2026-05-20_13h13.41.219,,45,44,,Easy,Blue,65,c,c,0.6517000000476827,,,,,,,
2494,2026-05-20_13h13.41.219,,46,45,,Average,Red,54,n,n,0.5223999999761588,,,,,,,
2494,2026-05-20_13h13.41.219,,47,46,,Difficult,Red,41,n,c,0.6016999999880852,,,,,,,
2494,2026-05-20_13h13.41.219,,48,47,,Easy,Blue,65,c,c,0.6021999999880734,,,,,,,
2494,2026-05-20_13h13.41.219,,49,48,,Average,Blue,51,c,c,0.6006999999880804,,,,,,,
2494,2026-05-20_13h13.41.219,,50,49,,Difficult,Red,41,n,c,0.7033000000119216,,,,,,,
2494,2026-05-20_13h13.41.219,,51,50,,Difficult,Red,45,n,c,0.7513000000119234,,,,,,,
2494,2026-05-20_13h13.41.219,,52,51,,Difficult,Blue,44,c,c,0.6018000000119343,,,,,,,
2494,2026-05-20_13h13.41.219,,53,52,,Easy,Red,65,n,n,0.628699999988072,,,,,,,
2494,2026-05-20_13h13.41.219,,54,53,,Easy,Blue,62,c,c,0.5837000000476849,,,,,,,
2494,2026-05-20_13h13.41.219,,55,54,,Average,Red,52,n,n,0.5983999999761522,,,,,,,
2494,2026-05-20_13h13.41.219,,56,55,,Difficult,Blue,43,c,c,0.5340999999642122,,,,,,,
2494,2026-05-20_13h13.41.219,,57,56,,Average,Blue,53,c,c,0.5678000000119425,,,,,,,
2494,2026-05-20_13h13.41.219,,58,57,,Difficult,Red,41,n,c,0.8367999999523192,,,,,,,
2494,2026-05-20_13h13.41.219,,59,58,,Difficult,Red,43,n,c,0.8684999999999832,,,,,,,
2494,2026-05-20_13h13.41.219,,60,59,,Easy,Red,65,n,n,0.43530000001192093,,,,,,,
2494,2026-05-20_13h13.41.219,,61,60,,Average,Red,55,n,n,0.4169000000357812,,,,,,,
2494,2026-05-20_13h13.41.219,,62,61,,Difficult,Blue,45,c,c,0.5343999999761593,,,,,,,
2494,2026-05-20_13h13.41.219,,63,62,,Average,Blue,52,c,c,0.4496000000238496,,,,,,,
2494,2026-05-20_13h13.41.219,,64,63,,Easy,Red,62,n,n,0.5341999999880898,,,,,,,
2494,2026-05-20_13h13.41.219,,65,64,,Average,Red,51,n,n,0.5763999999761609,,,,,,,
2494,2026-05-20_13h13.41.219,,66,65,,Average,Red,52,n,n,0.5334000000357548,,,,,,,
2494,2026-05-20_13h13.41.219,,67,66,,Average,Blue,51,c,c,0.5098000000119214,,,,,,,
2494,2026-05-20_13h13.41.219,,68,67,,Difficult,Blue,45,c,c,0.5673999999761747,,,,,,,
2494,2026-05-20_13h13.41.219,,69,68,,Average,Blue,51,c,c,1.1284000000357537,,,,,,,
2494,2026-05-20_13h13.41.219,,70,69,,Difficult,Red,44,n,n,1.0031999999880554,,,,,,,
2494,2026-05-20_13h13.41.219,,71,70,,Easy,Blue,61,c,c,0.5685000000000002,,,,,,,
2494,2026-05-20_13h13.41.219,,72,71,,Difficult,Red,44,n,n,0.6999999999999886,,,,,,,
2494,2026-05-20_13h13.41.219,,73,72,,Easy,Red,61,n,n,0.4841999999880784,,,,,,,
2494,2026-05-20_13h13.41.219,,74,73,,Average,Red,52,n,n,0.6337000000476962,,,,,,,
2494,2026-05-20_13h13.41.219,,75,74,,Average,Red,55,n,n,0.5504000000357792,,,,,,,
2494,2026-05-20_13h13.41.219,,76,75,,Average,Red,54,n,n,0.48280000001193457,,,,,,,
2494,2026-05-20_13h13.41.219,,77,76,,Difficult,Red,42,n,n,0.6338000000119166,,,,,,,
2494,2026-05-20_13h13.41.219,,78,77,,Easy,Red,65,n,n,0.43489999997615314,,,,,,,
2494,2026-05-20_13h13.41.219,,79,78,,Average,Blue,53,c,c,0.4959000000357605,,,,,,,
2494,2026-05-20_13h13.41.219,,80,79,,Easy,Blue,63,c,c,0.5515000000000043,,,,,,,
2494,2026-05-20_13h13.41.219,,81,80,,Average,Blue,53,c,c,0.8500999999642431,,,,,,,
2494,2026-05-20_13h13.41.219,,82,81,,Easy,Blue,63,c,c,0.5338999999761427,,,,,,,
2494,2026-05-20_13h13.41.219,,83,82,,Average,Red,54,n,n,0.5368000000119082,,,,,,,
2494,2026-05-20_13h13.41.219,,84,83,,Difficult,Red,44,n,n,0.7830000000000155,,,,,,,
2494,2026-05-20_13h13.41.219,,85,84,,Difficult,Red,45,n,c,0.6676000000238389,,,,,,,
2494,2026-05-20_13h13.41.219,,86,85,,Average,Red,53,n,n,0.6855999999642393,,,,,,,
2494,2026-05-20_13h13.41.219,,87,86,,Average,Blue,53,c,c,0.4006999999880634,,,,,,,
2494,2026-05-20_13h13.41.219,,88,87,,Easy,Blue,63,c,c,0.6518000000119173,,,,,,,
2494,2026-05-20_13h13.41.219,,89,88,,Difficult,Red,41,n,c,0.6341000000238353,,,,,,,
2494,2026-05-20_13h13.41.219,,90,89,,Difficult,Blue,45,c,c,0.5999000000357739,,,,,,,
2494,2026-05-20_13h13.41.219,,91,90,,Easy,Red,64,n,n,0.41569999998807816,,,,,,,
2494,2026-05-20_13h13.41.219,,92,91,,Difficult,Red,43,n,c,0.8841000000238353,,,,,,,
2494,2026-05-20_13h13.41.219,,93,92,,Difficult,Blue,43,c,c,0.5336999999880732,,,,,,,
2494,2026-05-20_13h13.41.219,,94,93,,Difficult,Blue,42,c,c,0.4829000000357837,,,,,,,
2494,2026-05-20_13h13.41.219,,95,94,,Difficult,Red,45,n,c,0.7339000000357601,,,,,,,
2494,2026-05-20_13h13.41.219,,96,95,,Average,Blue,55,c,c,0.6019000000357551,,,,,,,
2494,2026-05-20_13h13.41.219,,97,96,,Average,Red,53,n,n,0.33480000001191,,,,,,,
2494,2026-05-20_13h13.41.219,,98,97,,Average,Blue,51,c,c,0.36690000003576984,,,,,,,
2494,2026-05-20_13h13.41.219,,99,98,,Easy,Blue,61,c,c,0.34630000001189387,,,,,,,
2494,2026-05-20_13h13.41.219,,100,99,,Average,Red,54,n,n,0.3673000000119373,,,,,,,
2494,2026-05-20_13h13.41.219,,101,100,,Easy,Blue,63,c,c,0.3673999999761577,,,,,,,
2494,2026-05-20_13h13.41.219,,102,101,,Easy,Red,65,n,n,0.2696999999880916,,,,,,,
2494,2026-05-20_13h13.41.219,,103,102,,Average,Red,53,n,n,0.4678000000119198,,,,,,,
2494,2026-05-20_13h13.41.219,,104,103,,Average,Red,54,n,n,0.6341000000238353,,,,,,,
2494,2026-05-20_13h13.41.219,,105,104,,Easy,Red,64,n,n,0.3786000000238232,,,,,,,
2494,2026-05-20_13h13.41.219,,106,105,,Easy,Red,63,n,n,0.3521999999880734,,,,,,,
2494,2026-05-20_13h13.41.219,,107,106,,Easy,Red,63,n,n,0.36709999996423903,,,,,,,
2494,2026-05-20_13h13.41.219,,108,107,,Difficult,Red,42,n,c,0.9158999999761477,,,,,,,
2494,2026-05-20_13h13.41.219,,109,108,,Difficult,Red,41,n,c,1.4708999999761545,,,,,,,
2494,2026-05-20_13h13.41.219,,110,109,,Easy,Red,63,n,n,0.39510000002383094,,,,,,,
2494,2026-05-20_13h13.41.219,,111,110,,Average,Blue,54,c,c,0.4828999999761834,,,,,,,
2494,2026-05-20_13h13.41.219,,112,111,,Difficult,Red,42,n,c,0.5998000000119248,,,,,,,
2494,2026-05-20_13h13.41.219,,113,112,,Easy,Red,61,n,n,0.367999999999995,,,,,,,
2494,2026-05-20_13h13.41.219,,114,113,,Easy,Blue,63,c,c,0.3505000000000109,,,,,,,
2494,2026-05-20_13h13.41.219,,115,114,,Average,Red,53,n,n,0.549400000035746,,,,,,,
2494,2026-05-20_13h13.41.219,,116,115,,Easy,Blue,62,c,c,0.4006999999880918,,,,,,,
2494,2026-05-20_13h13.41.219,,117,116,,Difficult,Blue,44,c,c,1.3656000000238464,,,,,,,
2494,2026-05-20_13h13.41.219,,118,117,,Average,Blue,51,c,c,0.44889999997616314,,,,,,,
2494,2026-05-20_13h13.41.219,,119,118,,Easy,Red,63,n,n,0.3552000000476596,,,,,,,
2494,2026-05-20_13h13.41.219,,120,119,,Easy,Red,62,n,n,0.38299999999998136,,,,,,,
2494,2026-05-20_13h13.41.219,,,,,,,,,,,,,,,,,
2494,2026-05-20_13h13.41.219,,121,,0,Difficult,Blue,43,c,,,c,0.6008000000119296,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,122,,1,Difficult,Blue,45,c,,,c,0.8501999999880923,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,123,,2,Average,Blue,53,c,,,c,1.5836000000238641,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,124,,3,Average,Blue,55,c,,,c,0.7366000000238273,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,125,,4,Difficult,Red,45,n,,,n,0.7505999999642086,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,126,,5,Easy,Red,63,n,,,n,0.8691999999880977,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,127,,6,Difficult,Blue,45,c,,,c,1.2008000000118955,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,128,,7,Easy,Red,65,n,,,n,0.8173999999761463,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,129,,8,Average,Red,55,n,,,n,0.9696000000238314,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,130,,9,Average,Blue,53,c,,,c,1.0558000000119137,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,131,,10,Average,Blue,51,c,,,c,0.9665999999642167,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,132,,11,Average,Blue,54,c,,,c,0.8613000000119087,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,133,,12,Average,Red,51,n,,,n,0.7676999999881104,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,134,,13,Difficult,Blue,45,c,,,c,1.515699999988044,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,135,,14,Difficult,Red,41,n,,,c,2.7176000000238787,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,136,,15,Average,Red,55,n,,,n,0.6349999999999909,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,137,,16,Difficult,Red,45,n,,,n,3.3525000000000205,,8,4,Tal vez sea Correcto,Experimental
2494,2026-05-20_13h13.41.219,,138,,17,Average,Blue,51,c,,,c,0.7541999999880886,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,139,,18,Average,Blue,51,c,,,c,0.6328999999761322,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,140,,19,Average,Blue,52,c,,,c,0.8340999999642804,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,141,,20,Easy,Red,63,n,,,n,0.7001999999880582,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,142,,21,Difficult,Red,41,n,,,c,1.4340999999642463,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,143,,22,Difficult,Red,42,n,,,c,2.5519000000357437,,8,4,Tal vez sea Correcto,Experimental
2494,2026-05-20_13h13.41.219,,144,,23,Difficult,Blue,42,c,,,n,1.270100000023831,,8,4,Tal vez sea Correcto,Experimental
2494,2026-05-20_13h13.41.219,,145,,24,Average,Red,53,n,,,n,0.6928999999761913,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,146,,25,Average,Red,51,n,,,n,0.5853999999761754,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,147,,26,Average,Blue,53,c,,,c,0.6171000000238678,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,148,,27,Average,Blue,55,c,,,c,0.5766999999880795,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,149,,28,Easy,Blue,65,c,,,c,0.5842999999523499,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,150,,29,Easy,Red,62,n,,,n,0.6141000000238819,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,151,,30,Easy,Blue,63,c,,,c,0.65119999998808,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,152,,31,Easy,Blue,65,c,,,c,0.5496999999880927,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,153,,32,Difficult,Red,41,n,,,c,0.8354999999999677,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,154,,33,Difficult,Blue,43,c,,,c,0.7526000000238469,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,155,,34,Easy,Red,65,n,,,n,0.571199999988039,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,156,,35,Difficult,Blue,45,c,,,c,0.9509000000357446,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,157,,36,Average,Red,53,n,,,n,0.66960000002382,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,158,,37,Average,Blue,53,c,,,c,0.617999999999995,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,159,,38,Average,Blue,54,c,,,c,0.5840999999642236,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,160,,39,Average,Blue,53,c,,,c,0.5338999999761427,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,161,,40,Difficult,Red,44,n,,,c,1.8179999999999836,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,162,,41,Difficult,Blue,41,c,,,c,0.6783000000119159,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,163,,42,Difficult,Red,44,n,,,n,1.4341999999880386,,8,4,Tal vez sea Correcto,Experimental
2494,2026-05-20_13h13.41.219,,164,,43,Difficult,Red,45,n,,,n,0.7524999999999977,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,165,,44,Easy,Red,62,n,,,n,0.4996000000238041,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,166,,45,Average,Red,54,n,,,n,0.48219999998809726,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,167,,46,Easy,Blue,61,c,,,c,1.9180000000000064,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,168,,47,Average,Blue,51,c,,,c,0.8194000000357278,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,169,,48,Average,Red,51,n,,,n,0.5441000000238887,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,170,,49,Difficult,Red,44,n,,,n,1.38459999996428,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,171,,50,Difficult,Red,45,n,,,n,1.0842000000477015,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,172,,51,Difficult,Red,43,n,,,c,1.134099999964235,,8,4,Tal vez sea Correcto,Experimental
2494,2026-05-20_13h13.41.219,,173,,52,Difficult,Blue,41,c,,,c,1.7331999999880736,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,174,,53,Easy,Blue,64,c,,,c,0.7507000000476296,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,175,,54,Easy,Blue,64,c,,,c,0.5631999999881145,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,176,,55,Average,Red,53,n,,,n,0.7330000000000041,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,177,,56,Average,Red,52,n,,,n,0.6503000000118959,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,178,,57,Easy,Red,65,n,,,n,0.5021999999880791,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,179,,58,Average,Red,55,n,,,n,0.5335000000000036,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,180,,59,Average,Red,52,n,,,n,0.5336999999880732,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,181,,60,Easy,Red,64,n,,,n,0.5829000000357496,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,182,,61,Difficult,Blue,42,c,,,n,1.3830000000000382,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,183,,62,Difficult,Blue,45,c,,,c,0.8499999999999659,,9,5,Probablemente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,184,,63,Easy,Blue,65,c,,,c,0.62110000002383,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,185,,64,Average,Blue,54,c,,,c,0.69969999998807,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,186,,65,Easy,Red,64,n,,,n,0.5341999999880613,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,187,,66,Easy,Blue,61,c,,,c,0.6512000000476519,,0,6,Seguramente Correcto,Experimental
2494,2026-05-20_13h13.41.219,,188,,67,Average,Blue,55,c,,,c,0.8487000000476996,,0,6,Seguramente Correcto,Experimental
